game_number,strategy,seed,turns_survived,survived_target,final_people,max_people,final_food,max_food,total_hunts,successful_hunts,hunt_failures,hunt_deaths,total_food_rolls,total_food_gained,kinship_started,kinship_completed,tech_sets_completed,tech_upgrades_completed,prayer_earned,prayer_spent,sacrifices,events_ignored
225,random,100225,16,False,0,6,3,7,3,2,1,1,10,19,5,5,1,1,4,2,2,1
226,random,100226,3,False,3,5,0,7,1,0,1,1,3,5,2,0,0,0,1,0,0,0
227,random,100227,5,False,1,5,0,7,1,0,1,1,5,7,2,1,0,0,1,0,0,0
228,random,100228,13,False,0,5,1,8,1,0,1,1,5,8,2,1,0,0,8,6,2,3
229,random,100229,4,False,1,5,0,7,2,0,2,2,1,2,2,1,0,1,2,2,1,1
230,random,100230,9,False,0,5,0,8,2,1,1,1,5,9,1,1,1,3,1,0,2,0
231,random,100231,11,False,0,5,20,24,5,4,1,1,6,12,0,0,1,1,3,0,4,0
232,random,100232,7,False,1,5,0,8,2,1,1,1,2,4,2,1,0,1,0,0,2,0
233,random,100233,10,False,0,5,0,11,2,2,0,0,4,5,2,0,1,1,5,2,2,1
234,random,100234,25,False,0,5,32,32,11,7,4,4,14,23,2,2,1,2,7,6,3,3
235,random,100235,7,False,1,5,0,7,2,1,1,1,3,5,2,1,0,2,4,2,2,1
236,random,100236,5,False,3,6,0,9,2,1,1,1,4,6,3,1,0,0,3,2,0,1
237,random,100237,8,False,5,6,0,15,3,3,0,0,2,3,6,3,0,0,5,2,1,1
238,random,100238,38,False,0,5,28,30,16,10,6,6,14,31,11,10,3,5,15,14,9,7
239,random,100239,10,False,0,5,3,9,4,2,2,2,5,10,0,0,0,2,3,0,3,0
240,random,100240,9,False,1,5,0,7,2,2,0,0,4,9,3,2,0,2,1,0,2,0
241,random,100241,34,False,1,5,0,11,9,7,2,2,19,39,10,9,4,6,9,8,5,4
242,random,100242,16,False,0,5,0,7,9,7,2,2,7,10,4,4,2,2,8,6,0,3
243,random,100243,7,False,0,5,18,28,3,1,2,2,0,0,1,1,1,2,2,0,4,0
244,random,100244,15,False,0,5,21,21,12,6,6,6,11,16,2,2,0,0,3,2,1,1
245,random,100245,8,False,3,6,0,7,3,2,1,1,7,15,5,1,1,2,2,0,2,0
246,random,100246,10,False,1,5,0,7,1,1,0,0,3,5,5,4,0,0,8,0,0,0
247,random,100247,3,False,3,5,0,7,0,0,0,0,1,1,3,0,0,0,1,0,1,0
248,random,100248,16,False,0,5,0,17,9,7,2,2,7,14,4,3,2,3,3,2,3,1
249,random,100249,32,False,0,6,13,25,16,9,7,7,13,27,6,6,3,4,8,8,4,4
250,random,100250,44,False,0,5,2,14,9,7,2,2,22,35,7,7,2,3,10,10,6,5
251,random,100251,13,False,0,5,0,8,3,0,3,3,5,8,5,5,1,1,5,4,1,2
252,random,100252,6,False,3,5,0,8,4,2,2,2,3,7,4,1,0,0,0,0,1,0
253,random,100253,3,False,3,5,0,7,0,0,0,0,1,1,2,0,0,0,2,0,0,0
254,random,100254,2,False,3,5,0,7,1,0,1,1,1,1,2,0,0,0,0,0,0,0
255,random,100255,8,False,3,5,0,12,4,3,1,1,2,2,4,2,2,2,1,0,0,0
256,random,100256,12,False,0,6,32,32,5,5,0,0,8,10,2,2,0,1,0,0,6,0
257,random,100257,16,False,0,6,0,17,6,5,1,1,4,7,5,5,2,4,11,4,4,2
258,random,100258,16,False,3,6,0,17,10,7,3,3,12,25,7,4,1,2,8,4,3,2
259,random,100259,27,False,0,6,1,7,9,7,2,2,14,18,5,2,2,2,6,6,2,3
260,random,100260,7,False,3,5,0,8,5,4,1,1,4,8,3,1,1,1,3,0,0,0
261,random,100261,9,False,1,5,0,7,1,1,0,0,9,17,4,3,0,1,4,4,1,2
262,random,100262,13,False,0,5,20,21,4,2,2,2,8,16,2,1,0,0,2,2,2,1
263,random,100263,35,False,0,5,22,35,17,12,5,5,13,21,5,5,3,3,15,14,4,7
264,random,100264,10,False,1,5,0,8,1,0,1,1,4,5,4,3,0,0,1,0,1,0
